branch_id,backend_a,backend_b,canonical_index,T_K,log_w_a,log_w_b,w_m_s_a,w_m_s_b,delta_log_w_a_minus_b,delta_w_m_s_a_minus_b,relative_delta_w_a_minus_b
lower_hopf,auto,loca,46,236.0,-2.687376452495963,-2.6873907039741,0.06805926205755759,0.0680582921193839,1.4251478137161655e-05,9.699381736949508e-07,1.4251579689856773e-05
lower_hopf,auto,loca,47,237.0,-2.634187687623919,-2.634202520787752,0.07177725128338047,0.07177618660754898,1.4833163833216645e-05,1.0646758314969418e-06,1.4833273844963028e-05
lower_hopf,auto,loca,48,238.0,-2.5819635084037045,-2.581963085544521,0.07562536710184017,0.07562539908072792,-4.22859183668578e-07,-3.197888774619795e-08,-4.228590940996082e-07
lower_hopf,auto,loca,49,239.0,-2.530726273876952,-2.5307260078024587,0.07960118702433648,0.07960120820418479,-2.660744931048953e-07,-2.1179848305741267e-08,-2.6607445770688443e-07
lower_hopf,auto,loca,50,240.0,-2.4804983214,-2.4804982708235075,0.08370150494678692,0.08370150918011555,-5.057649232753647e-08,-4.233328632086142e-09,-5.057649107588406e-08
upper_hopf,python,auto,0,190.0,-3.147932955990406,-3.1479329512333334,0.04294079570880711,0.04294079591307958,-4.7570725136836245e-09,-2.0427247393595138e-10,-4.757072373540493e-09
upper_hopf,python,auto,1,191.0,-3.0558871545575275,-3.055887373389482,0.04708093417215959,0.04708092386934788,2.1883195433503033e-07,1.0302811707940673e-08,2.1883197824519193e-07
upper_hopf,python,auto,2,192.0,-2.965012382439572,-2.9650124582382937,0.051559830804672184,0.051559826896503076,7.579872152163603e-08,3.908169107780246e-09,7.579872437557211e-08
upper_hopf,python,auto,3,193.0,-2.8752857505468103,-2.875286582627885,0.05640002086412994,0.05639997393475949,8.320810747086682e-07,4.6929370452197805e-08,8.32081420932627e-07
upper_hopf,python,auto,4,194.0,-2.7866862420207887,-2.7866878425063777,0.06162508655844299,0.06162498792845896,1.6004855889484304e-06,9.86299840272098e-08,1.600486869737164e-06
upper_hopf,python,auto,5,195.0,-2.6991945057010525,-2.699196540375021,0.0672596682051507,0.0672595313537939,2.0346739684207193e-06,1.3685135680230331e-07,2.03467603844052e-06
upper_hopf,python,auto,6,196.0,-2.612792683172221,-2.612794855631148,0.07332947156423361,0.07332931225914152,2.1724589274185746e-06,1.5930509209005628e-07,2.1724612870645962e-06
